twitter,instagram,facebook,snapchat,youtube,whatsapp,pinterest,twitter_usage,instagram_usage,facebook_usage,snapchat_usage,youtube_usage,books,age,education
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,3.0,,5.0,10.0,69,6
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,2.0,3.0,51,4
2.0,2.0,1.0,1.0,1.0,2.0,2.0,,,1.0,5.0,5.0,5.0,81,6
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,2.0,,5.0,15.0,30,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,50.0,88,4
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,3.0,2.0,68,5
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,4.0,49,5
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,79,3
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,3.0,,5.0,2.0,70,7
,,,,,,,,,,,,,58,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,8.0,87,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,88,4
2.0,1.0,1.0,1.0,1.0,2.0,2.0,,2.0,1.0,1.0,5.0,7.0,18,3
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,1.0,,5.0,4.0,65,3
1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,,1.0,,2.0,96.0,64,8
2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,,,12.0,69,3
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,4.0,10.0,65,6
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,3.0,,5.0,,65,99
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,79,2
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,2.0,,,,48,5
1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,,1.0,,1.0,2.0,46,4
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,3.0,96.0,99,99
2.0,2.0,1.0,2.0,2.0,2.0,1.0,,,1.0,,,2.0,37,3
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,4.0,,,3.0,80,3
1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,,3.0,,3.0,40.0,62,6
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,1.0,,3.0,12.0,62,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,8.0,80,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,63,6
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,3.0,,4.0,5.0,80,8
,,,,,,,,,,,,2.0,69,4
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,2.0,,,,99,99
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,68,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,67,3
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,3.0,15.0,61,6
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,2.0,,5.0,,59,3
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,5.0,,,4.0,84,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,40,4
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,3.0,,,50.0,51,6
2.0,1.0,2.0,2.0,1.0,1.0,2.0,,4.0,,,1.0,8.0,54,6
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,2.0,6.0,64,6
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,3.0,4.0,50,3
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,1.0,,1.0,12.0,70,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,4.0,89,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,40.0,64,4
2.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,4.0,40.0,51,7
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,3.0,5.0,37,6
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,3.0,,59,3
1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,,1.0,24.0,60,8
1.0,1.0,1.0,2.0,1.0,2.0,2.0,5.0,1.0,1.0,,3.0,1.0,54,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,73,2
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,2.0,2.0,69,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,8.0,69,5
2.0,2.0,1.0,2.0,1.0,1.0,2.0,,,3.0,,1.0,4.0,47,4
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,1.0,,1.0,16.0,68,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,61,3
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,1.0,,3.0,99.0,62,7
,,,,,,,,,,,,2.0,65,4
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,3.0,,3.0,10.0,57,8
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,2.0,,2.0,20.0,25,3
2.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,1.0,3.0,2.0,14.0,25,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,82,5
1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,,2.0,,4.0,3.0,53,8
1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,25.0,52,6
2.0,2.0,2.0,2.0,1.0,8.0,2.0,,,,,1.0,50.0,58,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,3.0,70,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,69,6
1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,4.0,1.0,,1.0,32.0,35,4
,,,,,,,,,,,,9.0,80,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,23.0,66,7
1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,,1.0,3.0,57,2
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,4.0,3.0,76,4
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,2.0,,,96.0,81,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,99,99
,,,,,,,,,,,,97.0,58,6
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,4.0,2.0,67,3
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,2.0,,3.0,6.0,84,6
,,,,,,,,,,,,7.0,80,3
2.0,2.0,1.0,2.0,2.0,2.0,1.0,,,1.0,,,,66,2
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,2.0,,,4.0,69,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,75.0,92,3
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,2.0,,,12.0,84,99
,,,,,,,,,,,,1.0,74,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,73,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,4.0,75,3
,,,,,,,,,,,,,64,2
2.0,1.0,1.0,1.0,1.0,2.0,1.0,,4.0,1.0,2.0,3.0,7.0,43,5
2.0,1.0,1.0,2.0,1.0,2.0,2.0,,4.0,2.0,,5.0,4.0,76,6
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,3.0,,4.0,98.0,74,5
2.0,2.0,1.0,2.0,2.0,2.0,1.0,,,2.0,,,20.0,62,3
2.0,2.0,1.0,2.0,1.0,1.0,2.0,,,3.0,,3.0,3.0,65,6
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,1.0,,3.0,30.0,60,5
2.0,2.0,1.0,2.0,1.0,1.0,2.0,,,1.0,,1.0,70.0,66,7
2.0,2.0,1.0,2.0,1.0,1.0,2.0,,,1.0,,1.0,6.0,52,5
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,8.0,69,5
1.0,2.0,1.0,2.0,1.0,2.0,1.0,5.0,,2.0,,3.0,96.0,72,7
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,4.0,6.0,69,6
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,2.0,,,24.0,90,4
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,3.0,70,3
,,,,,,,,,,,,10.0,65,4
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,1.0,4.0,67,6
2.0,1.0,1.0,2.0,1.0,2.0,2.0,,3.0,2.0,,5.0,,52,4
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,93,4
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,2.0,,,4.0,57,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,12.0,65,4
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,4.0,,4.0,12.0,53,5
2.0,1.0,2.0,2.0,1.0,2.0,2.0,,3.0,,,3.0,,71,6
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,4.0,,3.0,,59,4
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,3.0,6.0,65,8
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,81,3
1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,7.0,52,6
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,4.0,15.0,65,8
1.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,,2.0,,2.0,,73,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,12.0,70,6
1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,,4.0,6.0,71,6
,,,,,,,,,,,,20.0,89,3
2.0,2.0,1.0,2.0,1.0,1.0,2.0,,,1.0,,3.0,1.0,73,6
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,3.0,,3.0,,63,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,20.0,76,3
1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,50.0,19,4
1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,,,,70.0,43,8
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,2.0,,3.0,8.0,99,7
2.0,2.0,1.0,1.0,1.0,2.0,1.0,,,2.0,5.0,5.0,6.0,99,8
1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,,1.0,,3.0,1.0,53,3
2.0,2.0,1.0,2.0,1.0,1.0,2.0,,,5.0,,1.0,2.0,29,2
1.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,,2.0,,3.0,12.0,60,5
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,84,8
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,2.0,,3.0,96.0,35,8
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,13.0,80,7
1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,10.0,41,1
2.0,2.0,2.0,2.0,1.0,1.0,2.0,,,,,1.0,,45,1
,,,,,,,,,,,,,80,1
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,3.0,31,3
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,3.0,,,3.0,65,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,97.0,82,2
2.0,2.0,2.0,2.0,1.0,1.0,2.0,,,,,5.0,2.0,42,7
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,3.0,30.0,30,3
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,2.0,,2.0,2.0,53,3
1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,5.0,30.0,49,7
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,7.0,66,8
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,97.0,71,4
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,68,3
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,1.0,,2.0,8.0,66,6
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,3.0,,5.0,1.0,58,7
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,87,4
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,3.0,,4.0,3.0,67,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,45.0,68,6
2.0,1.0,1.0,2.0,1.0,2.0,2.0,,2.0,1.0,,1.0,3.0,34,6
,,,,,,,,,,,,,60,4
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,1.0,,1.0,50.0,55,6
2.0,1.0,1.0,2.0,1.0,2.0,1.0,,5.0,5.0,,1.0,,39,4
1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,50.0,40,7
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,71,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,6.0,87,7
1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,96.0,39,7
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,1.0,,3.0,97.0,58,1
2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,5.0,5.0,2.0,10.0,99,3
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,5.0,,,,75,2
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,3.0,4.0,30,99
2.0,2.0,2.0,2.0,1.0,1.0,2.0,,,,,2.0,3.0,63,6
,,,,,,,,,,,,98.0,81,3
1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,,3.0,5.0,52,6
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,4.0,,62,6
,,,,,,,,,,,,1.0,50,5
2.0,2.0,1.0,2.0,2.0,2.0,1.0,,,3.0,,,3.0,59,6
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,1.0,,,3.0,53,4
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,4.0,,46,2
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,81,6
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,1.0,,,15.0,67,7
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,3.0,,1.0,30.0,62,4
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,4.0,90,7
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,1.0,,,5.0,89,8
2.0,2.0,1.0,2.0,1.0,1.0,2.0,,,1.0,,2.0,24.0,72,8
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,2.0,1.0,60,6
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,3.0,,3.0,20.0,56,6
2.0,8.0,2.0,2.0,1.0,2.0,8.0,,,,,9.0,,58,3
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,3.0,,66,3
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,3.0,97.0,76,6
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,3.0,9.0,84,4
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,5.0,96.0,75,5
2.0,2.0,1.0,2.0,1.0,1.0,1.0,,,1.0,,2.0,14.0,30,6
1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,,1.0,,1.0,96.0,40,6
2.0,1.0,1.0,1.0,1.0,2.0,2.0,,5.0,1.0,2.0,1.0,,19,3
2.0,1.0,2.0,1.0,1.0,1.0,1.0,,3.0,,1.0,1.0,1.0,38,3
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,5.0,,5.0,20.0,60,8
1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,1.0,15.0,30,7
1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,,2.0,20.0,63,8
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,77,3
1.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,,3.0,,3.0,3.0,72,6
1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,,1.0,2.0,8.0,18,2
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,3.0,,65,4
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,12.0,71,8
2.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,5.0,28,7
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,63,2
2.0,1.0,1.0,2.0,2.0,2.0,2.0,,3.0,1.0,,,2.0,99,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,97.0,29,99
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,4.0,4.0,40,5
1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,5.0,27,6
2.0,1.0,1.0,1.0,1.0,2.0,1.0,,3.0,1.0,3.0,5.0,,99,3
1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,,,,3.0,15.0,41,7
1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,4.0,6.0,23,7
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,12.0,66,5
2.0,1.0,1.0,2.0,1.0,2.0,1.0,,5.0,2.0,,4.0,12.0,62,8
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,2.0,,5.0,55.0,70,6
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,3.0,,3.0,60.0,36,6
2.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,2.0,3.0,1.0,,36,6
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,2.0,,2.0,5.0,23,6
2.0,2.0,1.0,2.0,1.0,1.0,2.0,,,3.0,,3.0,1.0,38,4
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,3.0,,1.0,14.0,40,7
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,1.0,,3.0,,27,6
1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,17.0,35,5
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,2.0,,,97.0,36,3
2.0,2.0,1.0,1.0,1.0,2.0,2.0,,,1.0,1.0,1.0,3.0,21,3
2.0,2.0,1.0,2.0,1.0,1.0,2.0,,,2.0,,3.0,10.0,49,4
1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,4.0,1.0,,3.0,12.0,46,6
2.0,2.0,2.0,2.0,1.0,1.0,2.0,,,,,2.0,,56,2
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,3.0,10.0,40,99
1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,,1.0,3.0,6.0,18,3
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,1.0,,3.0,30.0,67,7
1.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,,4.0,,,4.0,68,3
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,3.0,10.0,50,7
2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,,,1.0,50,2
1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,4.0,5.0,,2.0,3.0,29,6
1.0,2.0,1.0,1.0,1.0,2.0,2.0,5.0,,2.0,3.0,3.0,1.0,24,6
2.0,1.0,1.0,1.0,1.0,2.0,2.0,,5.0,1.0,1.0,4.0,4.0,23,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,3.0,80,3
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,4.0,25.0,64,4
2.0,1.0,1.0,2.0,1.0,2.0,2.0,,3.0,8.0,,3.0,40.0,65,7
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,3.0,,4.0,4.0,77,3
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,2.0,97.0,55,6
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,3.0,20.0,62,6
1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,,2.0,,2.0,30.0,48,6
1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,3.0,,36,3
1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,11.0,18,5
1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,,1.0,,41,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,3.0,88,6
2.0,1.0,1.0,2.0,1.0,1.0,1.0,,2.0,1.0,,3.0,10.0,25,6
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,3.0,,56,3
2.0,2.0,1.0,2.0,2.0,1.0,2.0,,,1.0,,,,46,2
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,15.0,77,5
2.0,1.0,1.0,2.0,1.0,1.0,2.0,,4.0,3.0,,3.0,2.0,51,7
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,2.0,10.0,34,6
2.0,1.0,1.0,2.0,1.0,1.0,2.0,,5.0,2.0,,1.0,6.0,29,2
2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,,,75.0,64,7
2.0,2.0,1.0,2.0,1.0,1.0,2.0,,,3.0,,3.0,,52,1
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,1.0,,4.0,20.0,65,6
2.0,2.0,1.0,2.0,1.0,1.0,1.0,,,2.0,,3.0,5.0,55,6
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,3.0,25.0,48,6
1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,3.0,15.0,24,6
2.0,1.0,2.0,1.0,1.0,2.0,2.0,,2.0,,1.0,3.0,12.0,21,5
2.0,2.0,1.0,1.0,1.0,1.0,2.0,,,1.0,1.0,1.0,,59,1
1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,25.0,27,5
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,75,3
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,1.0,,3.0,3.0,56,5
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,35.0,81,4
1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,,1.0,2.0,59,3
2.0,1.0,1.0,1.0,1.0,2.0,1.0,,3.0,2.0,3.0,1.0,30.0,55,4
9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,30,4
1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,5.0,28,2
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,1.0,75,3
1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,5.0,1.0,3.0,30,4
2.0,1.0,2.0,1.0,1.0,2.0,1.0,,1.0,,5.0,5.0,20.0,29,7
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,4.0,,4.0,8.0,51,6
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,5.0,25.0,44,1
1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,,,,3.0,97.0,50,6
2.0,2.0,1.0,2.0,1.0,1.0,1.0,,,3.0,,8.0,4.0,35,6
1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,6.0,28,7
2.0,1.0,1.0,2.0,1.0,2.0,2.0,,5.0,5.0,,3.0,4.0,22,7
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,2.0,,,,51,4
1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,10.0,38,8
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,3.0,,5.0,1.0,20,3
1.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,5.0,2.0,,3.0,97.0,66,5
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,3.0,,57,5
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,1.0,,1.0,2.0,46,2
1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,4.0,22,6
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,3.0,24.0,52,4
2.0,1.0,2.0,1.0,1.0,2.0,2.0,,1.0,,1.0,3.0,3.0,18,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,4.0,61,3
1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,,1.0,5.0,3.0,10.0,19,4
1.0,2.0,1.0,2.0,1.0,2.0,1.0,5.0,,1.0,,3.0,10.0,66,8
1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,20,4
1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,,,,1.0,2.0,19,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,50.0,82,4
1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,19,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,58,4
2.0,1.0,1.0,1.0,1.0,2.0,2.0,,3.0,1.0,1.0,1.0,,27,2
2.0,2.0,1.0,2.0,1.0,1.0,2.0,,,1.0,,3.0,20.0,52,3
1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,10.0,28,4
2.0,2.0,1.0,1.0,1.0,2.0,1.0,,,1.0,1.0,3.0,,36,2
1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,3.0,2.0,3.0,2.0,97.0,31,8
2.0,2.0,1.0,2.0,1.0,1.0,1.0,,,1.0,,2.0,4.0,51,7
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,2.0,,3.0,10.0,46,4
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,1.0,,2.0,5.0,48,4
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,62,2
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,1.0,4.0,34,4
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,5.0,1.0,63,5
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,74,3
2.0,1.0,1.0,2.0,1.0,2.0,1.0,,4.0,1.0,,3.0,20.0,47,6
2.0,2.0,1.0,1.0,2.0,2.0,2.0,,,2.0,4.0,,3.0,86,1
1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,8.0,26,6
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,1.0,,,,54,4
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,55,3
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,2.0,12.0,63,7
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,2.0,,5.0,3.0,52,4
2.0,2.0,1.0,8.0,1.0,1.0,8.0,,,1.0,,1.0,98.0,57,1
1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,4.0,25.0,46,7
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,3.0,2.0,54,6
2.0,2.0,1.0,1.0,1.0,2.0,2.0,,,1.0,1.0,1.0,,21,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,12.0,74,4
2.0,2.0,1.0,1.0,2.0,1.0,2.0,,,5.0,4.0,,60.0,29,6
2.0,1.0,1.0,2.0,1.0,2.0,1.0,,4.0,1.0,,5.0,5.0,66,3
